symbol,timestamp,timezone,open,high,low,close,volume,source_path
SPY,2025-04-10 18:25:00,US/Eastern,525.77,526.2,525.57,525.87,9708,data/SPY/2025-04-11.json
SPY,2025-04-10 18:30:00,US/Eastern,524.58,526.75,524.58,526.49,2500517,data/SPY/2025-04-11.json
SPY,2025-04-10 18:35:00,US/Eastern,526.5,527.1467,526.3408,527,18046,data/SPY/2025-04-11.json
SPY,2025-04-10 18:40:00,US/Eastern,527.06,527.37,526.99,527.1601,9885,data/SPY/2025-04-11.json
SPY,2025-04-10 18:45:00,US/Eastern,527.17,527.68,526.52,526.55,14888,data/SPY/2025-04-11.json
SPY,2025-04-10 18:50:00,US/Eastern,526.55,526.6,526.225,526.35,5848,data/SPY/2025-04-11.json
SPY,2025-04-10 18:55:00,US/Eastern,526.36,526.4,525.74,525.9,12898,data/SPY/2025-04-11.json
SPY,2025-04-10 19:00:00,US/Eastern,525.9,525.9,525.01,525.39,16185,data/SPY/2025-04-11.json
SPY,2025-04-10 19:05:00,US/Eastern,525.4889,526.12,525.33,525.68,62477,data/SPY/2025-04-11.json
SPY,2025-04-10 19:10:00,US/Eastern,525.55,525.6393,524.07,524.265,22128,data/SPY/2025-04-11.json
SPY,2025-04-10 19:15:00,US/Eastern,524.35,524.35,523.7707,524.01,13245,data/SPY/2025-04-11.json
SPY,2025-04-10 19:20:00,US/Eastern,524,524.18,522.27,522.54,12308,data/SPY/2025-04-11.json
SPY,2025-04-10 19:25:00,US/Eastern,522.505,523.67,522.46,523.25,18225,data/SPY/2025-04-11.json
SPY,2025-04-10 19:30:00,US/Eastern,523.2518,523.96,522.9,523.835,7049,data/SPY/2025-04-11.json
SPY,2025-04-10 19:35:00,US/Eastern,523.85,523.89,522.9,522.901,6578,data/SPY/2025-04-11.json
SPY,2025-04-10 19:40:00,US/Eastern,523.03,523.64,522.9,523.64,9245,data/SPY/2025-04-11.json
SPY,2025-04-10 19:45:00,US/Eastern,523.58,523.75,522.49,522.49,10692,data/SPY/2025-04-11.json
SPY,2025-04-10 19:50:00,US/Eastern,522.48,522.74,521.23,521.43,25389,data/SPY/2025-04-11.json
SPY,2025-04-10 19:55:00,US/Eastern,521.41,523.03,521.27,522.21,61260,data/SPY/2025-04-11.json
SPY,2025-04-10 20:00:00,US/Eastern,524.58,524.58,524.58,524.58,2480360,data/SPY/2025-04-11.json
SPY,2025-04-11 11:45:00,US/Eastern,525.22,526.31,524.73,525.88,525427,data/SPY/2025-04-14.json
SPY,2025-04-11 11:50:00,US/Eastern,525.84,526.26,525.0137,525.724,403307,data/SPY/2025-04-14.json
SPY,2025-04-11 11:55:00,US/Eastern,525.76,527.11,525.74,526.94,611797,data/SPY/2025-04-14.json
SPY,2025-04-11 12:00:00,US/Eastern,526.93,527.18,526.08,526.95,491265,data/SPY/2025-04-14.json
SPY,2025-04-11 12:05:00,US/Eastern,526.95,528.5,526.9,526.9501,751686,data/SPY/2025-04-14.json
SPY,2025-04-11 12:10:00,US/Eastern,527.03,528.45,526.9663,527.85,490161,data/SPY/2025-04-14.json
SPY,2025-04-11 12:15:00,US/Eastern,527.86,528.66,527.45,528.505,418959,data/SPY/2025-04-14.json
SPY,2025-04-11 12:20:00,US/Eastern,528.53,528.67,527.33,527.3899,474248,data/SPY/2025-04-14.json
SPY,2025-04-11 12:25:00,US/Eastern,527.39,527.95,526.41,527.39,608858,data/SPY/2025-04-14.json
SPY,2025-04-11 12:30:00,US/Eastern,527.535,530.325,527.4475,529.76,974839,data/SPY/2025-04-14.json
SPY,2025-04-11 12:35:00,US/Eastern,529.765,532,529.73,531.27,1015124,data/SPY/2025-04-14.json
SPY,2025-04-11 12:40:00,US/Eastern,531.28,532.26,525.46,531.9627,928948,data/SPY/2025-04-14.json
SPY,2025-04-11 12:45:00,US/Eastern,531.965,532.74,531.02,532.61,843578,data/SPY/2025-04-14.json
SPY,2025-04-11 12:50:00,US/Eastern,532.59,532.85,531.66,532.2928,811571,data/SPY/2025-04-14.json
SPY,2025-04-11 12:55:00,US/Eastern,532.39,532.61,531.58,531.72,578114,data/SPY/2025-04-14.json
SPY,2025-04-11 13:00:00,US/Eastern,531.77,532.61,530.6047,531.98,618818,data/SPY/2025-04-14.json
SPY,2025-04-11 13:05:00,US/Eastern,532.07,533.09,531.27,531.83,622306,data/SPY/2025-04-14.json
SPY,2025-04-11 13:10:00,US/Eastern,531.79,531.96,530.73,531.475,597080,data/SPY/2025-04-14.json
SPY,2025-04-11 13:15:00,US/Eastern,531.48,532.02,529.66,530.085,590852,data/SPY/2025-04-14.json
SPY,2025-04-11 13:20:00,US/Eastern,530.1,531.98,529.67,530.68,780752,data/SPY/2025-04-14.json
SPY,2025-04-11 13:25:00,US/Eastern,530.63,530.74,529.48,529.83,666865,data/SPY/2025-04-14.json
SPY,2025-04-11 13:30:00,US/Eastern,529.84,530.47,528.84,529.96,899501,data/SPY/2025-04-14.json
SPY,2025-04-11 13:35:00,US/Eastern,529.96,532.88,529.16,532.75,975184,data/SPY/2025-04-14.json
SPY,2025-04-11 13:40:00,US/Eastern,532.74,536.12,532.65,535.4,2063684,data/SPY/2025-04-14.json
SPY,2025-04-11 13:45:00,US/Eastern,535.4106,535.49,533.212,534.72,1187248,data/SPY/2025-04-14.json
SPY,2025-04-11 13:50:00,US/Eastern,534.65,536.43,534.15,535.72,1074274,data/SPY/2025-04-14.json
SPY,2025-04-11 13:55:00,US/Eastern,535.7625,535.84,534.18,534.7,731237,data/SPY/2025-04-14.json
SPY,2025-04-11 14:00:00,US/Eastern,534.72,534.99,533.71,534.81,851820,data/SPY/2025-04-14.json
SPY,2025-04-11 14:05:00,US/Eastern,534.8,534.91,532.87,533.38,774895,data/SPY/2025-04-14.json
SPY,2025-04-11 14:10:00,US/Eastern,533.35,534.25,532.7263,533.6,865164,data/SPY/2025-04-14.json
SPY,2025-04-11 14:15:00,US/Eastern,533.59,534.1,531.98,532.39,1273817,data/SPY/2025-04-14.json
SPY,2025-04-11 14:20:00,US/Eastern,532.405,533.23,531.57,532.9,910643,data/SPY/2025-04-14.json
SPY,2025-04-11 14:25:00,US/Eastern,532.9031,533.26,531.85,533.17,471747,data/SPY/2025-04-14.json
SPY,2025-04-11 14:30:00,US/Eastern,533.16,533.54,532.65,533,540214,data/SPY/2025-04-14.json
SPY,2025-04-11 14:35:00,US/Eastern,532.93,534.03,532.37,533.2994,897955,data/SPY/2025-04-14.json
SPY,2025-04-11 14:40:00,US/Eastern,533.25,534.21,533.18,533.67,470785,data/SPY/2025-04-14.json
SPY,2025-04-11 14:45:00,US/Eastern,533.68,534.52,533.52,534.17,471163,data/SPY/2025-04-14.json
SPY,2025-04-11 14:50:00,US/Eastern,534.2,534.3075,531.97,533.63,697085,data/SPY/2025-04-14.json
SPY,2025-04-11 14:55:00,US/Eastern,533.7,534.35,532.05,532.16,431495,data/SPY/2025-04-14.json
SPY,2025-04-11 15:00:00,US/Eastern,532.23,534.28,532.11,533.7927,655991,data/SPY/2025-04-14.json
SPY,2025-04-11 15:05:00,US/Eastern,533.77,534.77,533.07,534.69,813586,data/SPY/2025-04-14.json
SPY,2025-04-11 15:10:00,US/Eastern,534.675,535.31,534.18,535.06,983370,data/SPY/2025-04-14.json
